HR,Irradiance,Temperature,Humidity,POWER
6,10.2,19.5,68.98,0.187755
7,112.45,20.76,66.79,1.5421954
8,271.45,23.1,56.21,3.91966025
9,437.25,28.74,32.38,7.38464175
10,587.33,31.9,23.88,10.73360965
11,696.5,33.49,21.39,13.21847825
12,692.62,33.87,20.8,13.27389273
13,637.97,34.08,20.6,12.30629542
14,526.8,33.92,20.91,10.1565752
15,348.23,33.29,22.24,6.672522015
16,185.95,31.61,31.61,3.502358275
17,46.08,28.6,48.3,0.9358496
18,0,27.42,45.24,0
19,0,26.73,46.09,0
20,0,25.85,48.3,0
21,0,24.85,51.52,0
22,0,23.97,54.52,0
23,0,23.29,57.07,0
0,0,22.73,59.35,0
1,0,22.24,61.41,0
2,0,21.81,63.39,0
3,0,21.4,64.15,0
4,0,21.19,64.76,0
5,0,20.83,65.79,0
6,8.93,20.44,68.02,0.17562564
7,91.93,22.2,61.28,1.3331182
8,285.7,24.96,48.55,4.3603574
9,400.55,28.78,33.62,6.77958555
10,545.17,31.65,23.55,9.908971225
11,633.47,33.37,19.74,11.99801476
12,780.8,34.61,17.78,15.2085696
13,716.03,35.16,16.79,14.14413916
14,584.2,35.13,16.5,11.5660757
15,397.4,34.57,16.87,7.8224031
16,245.02,33.16,21.13,4.73501344
17,54.12,29.55,39.7,1.0926107
18,0,27.23,40.96,0
19,0,25.89,43.56,0
20,0,24.79,45.9,0
21,0,23.95,47.8,0
22,0,23.43,48.72,0
23,0,23.17,48.88,0
0,0,22.91,49.47,0
1,0,22.35,51.97,0
2,0,21.65,55.78,0
3,0,21.01,59.71,0
4,0,20.44,63.69,0
5,0,20.04,66.33,0
6,11.15,19.71,70.55,0.200707425
7,117.25,21.7,64.53,1.65463375
8,245.85,24.39,51.96,3.700264175
9,438.38,28.57,38.12,7.36995747
10,598.78,31.82,27.45,10.91935582
11,720.42,33.72,22.58,13.74322808
12,761.38,34.83,20.3,14.90866443
13,733.92,35.41,19.25,14.57684824
14,606.45,35.47,18.98,12.09403918
15,414.5,34.98,19.52,8.2290195
16,241.93,33.85,23.1,4.752436225
17,59.85,31.51,34.7,1.243080575
18,0,29.85,35.94,0
19,0,28.55,39.01,0
20,0,27.16,43.94,0
21,0,25.78,49.88,0
22,0,24.55,55.95,0
23,0,23.55,62.04,0
0,0,22.75,68.48,0
1,0,22.15,74.62,0
2,0,21.65,80.28,0
3,0,21.14,85.56,0
4,0,20.64,90.18,0
5,0,20.23,93.59,0
6,10.35,20.49,92.34,0.194244675
7,108.15,22.96,79.52,1.5929683
8,288.2,25.83,67.33,4.5106427
9,453.83,28.72,54.11,7.65716142
10,573.8,31.23,42.47,10.3156483
11,745.97,33.17,33.73,14.04210871
12,794.88,34.67,27.88,15.50212032
13,737.12,35.43,24.4,14.64647272
14,601.88,35.55,22.65,12.0256253
15,421.67,34.99,22.3,8.370667485
16,260.15,33.84,25.25,5.0971267
17,67.4,31.77,37.16,1.3863341
18,0,30.35,35.82,0
19,0,29.22,38.79,0
20,0,27.62,44.83,0
21,0,26.33,49.82,0
22,0,25.04,57.54,0
23,0,23.97,63.95,0
0,0,23.27,69.67,0
1,0,22.7,75.8,0
2,0,22.07,82.06,0
3,0,21.57,87.73,0
4,0,21.11,93.04,0
5,0,20.78,96.83,0
6,11.02,21.27,94.56,0.20680293
7,126.47,23.85,81.5,1.901601775
8,287.4,26.68,68.65,4.6082744
9,460.08,29.5,55.72,7.922862
10,618.58,31.86,45.38,11.28825646
11,696.65,33.53,38.22,13.23384103
12,806.65,34.81,33.29,15.78070643
13,712.33,35.44,30.63,14.16147634
14,525.47,35.5,29.67,10.50489575
15,364.1,34.94,30.24,7.2401193
16,214.98,33.75,32.79,4.23118375
17,57.33,30.98,47.7,1.18422503
18,0,29.01,53.36,0
19,0,28.36,54.37,0
20,0,27.79,57.13,0
21,0,26.93,62.76,0
22,0,26.05,69.42,0
23,0,25.24,76.06,0
0,0,24.57,81.84,0
1,0,24.02,86.61,0
2,0,23.57,90.29,0
3,0,23.16,93.16,0
4,0,22.82,95.13,0
5,0,22.51,96.52,0
6,10.57,22.72,95.19,0.20770518
7,114.72,24.59,85.47,1.76963416
8,297.25,27.39,69.03,4.858442375
9,433.6,30.35,53.93,7.637892
10,549.67,32.49,45.01,10.19771274
11,662.58,33.87,39.63,12.69338807
12,723.33,34.4,36.64,14.0296359
13,673.2,34.58,35.03,13.1301652
14,605.3,34.34,34.73,11.7635759
15,443.98,33.87,35.29,8.58184617
16,237.27,32.93,37.71,4.565747995
17,58.2,30.67,54.19,1.1914973
18,0,28.88,61.75,0
19,0,28.15,62.89,0
20,0,27.47,63.75,0
21,0,26.84,65.26,0
22,0,26.13,68.41,0
23,0,25.29,73.73,0
0,0,24.57,79.35,0
1,0,23.99,84.45,0
2,0,23.54,88.76,0
3,0,23.18,92.24,0
4,0,22.88,94.69,0
5,0,22.61,96.47,0
6,10.68,22.85,95.29,0.2098671
7,134.73,24.81,85.2,2.079430585
8,308.6,27.68,68.61,5.0811716
9,498.23,30.73,53.05,8.848136055
10,678.05,33.16,43.05,12.7605496
11,696.55,34.7,37.45,13.59869075
12,730.75,35.62,34.16,14.57350425
13,676.55,35.99,32.55,13.62412803
14,559.97,35.94,31.88,11.29628231
15,388.4,35.52,32.02,7.8146856
16,206.75,34.31,34.45,4.127429125
17,52.58,31.69,51.12,1.11699209
18,0,29.95,58.47,0
19,0,29.3,60.32,0
20,0,28.58,62.86,0
21,0,27.82,65.27,0
22,0,27.16,66.72,0
23,0,26.56,68.26,0
0,0,25.67,73.57,0
1,0,24.75,80.56,0
2,0,24.16,85.9,0
3,0,23.78,89.15,0
4,0,23.46,91.19,0
5,0,23.23,92.67,0
6,10.5,23.47,91.74,0.21027075
7,100.75,24.71,86.26,1.568102125
8,245.02,26.97,72.78,3.97251023
9,410.02,30,53.38,7.162845
10,460.8,32.7,38.04,8.608672
11,700.9,34.57,28.75,13.64192585
12,722.67,35.67,23.69,14.42995001
13,682.1,36.25,21.08,13.81463125
14,578.65,36.3,20.23,11.76218525
15,391.85,35.77,20.84,7.926851025
16,217.4,34.44,25.35,4.3445152
17,55.58,31.15,43.3,1.15751765
18,0,29.26,47.89,0
19,0,28.59,49.98,0
20,0,27.98,52.11,0
21,0,27.23,54.94,0
22,0,26.11,60.37,0
23,0,25.17,65.56,0
0,0,24.47,69.94,0
1,0,23.87,74.72,0
2,0,23.34,79.49,0
3,0,22.97,82.83,0
4,0,22.46,86.38,0
5,0,22,89.23,0
6,7.15,22.09,89.56,0.157887075
7,105.75,24.26,80.3,1.62103525
8,212.68,27.18,65.51,3.47883908
9,407.25,30.17,47.5,7.146217125
10,547.15,32.54,34.4,10.16372995
11,685.88,34.21,26.81,13.24082966
12,711.85,35.32,22.4,14.1035814
13,703.25,35.93,19.84,14.13768513
14,611.75,36.01,18.55,12.34716538
15,419.02,35.64,18.17,8.44156776
16,245.77,34.53,20.92,4.900534645
17,70.03,31.33,38.38,1.419930455
18,0,29.52,40.08,0
19,0,28.6,43.1,0
20,0,27.42,48.81,0
21,0,26.28,55.95,0
22,0,25.5,61.07,0
23,0,24.7,66.73,0
0,0,23.78,74.32,0
1,0,23.09,82.37,0
2,0,22.66,89.27,0
3,0,22.54,92.97,0
4,0,22.48,95.54,0
5,0,22.43,97.14,0
6,10.62,22.74,95.97,0.20849946
7,125.78,24.41,88.37,1.92330541
8,270.98,26.92,74.46,4.37882672
9,427.27,29.56,60.98,7.37580804
10,583.3,31.82,51,10.6396477
11,705,33.62,43.14,13.419695
12,737.92,34.94,37.39,14.48951616
13,667.47,35.61,33.68,13.32888552
14,586.75,35.64,32,11.750609
15,433.25,35.12,31.77,8.6217705
16,244.95,34.14,33.08,4.84172935
17,58.85,32.07,45.52,1.239981275
18,0,30.02,53.46,0
19,0,29.2,54.4,0
20,0,28.21,59.4,0
21,0,27.07,65.86,0
22,0,26.15,71.68,0
23,0,25.48,76.68,0
0,0,24.97,81.07,0
1,0,24.56,84.84,0
2,0,24.24,87.73,0
3,0,23.93,90.16,0
4,0,23.66,92.04,0
5,0,23.46,93.21,0
6,8.02,23.63,92.29,0.17535567
7,115.43,25.16,84.19,1.80976096
8,238.9,27.41,70.76,3.92258705
9,405.85,29.32,60.56,6.9667224
10,557.92,30.74,53.69,9.90990736
11,717.53,32.07,47.28,13.1557717
12,719.17,33.35,41.2,13.60983128
13,669.15,34.25,37.1,12.95258688
14,567.53,34.59,34.99,11.10212572
